diffusion_model,method,budget_k,expected_spread,runtime_seconds,spread_pct_of_greedy,runtime_pct_of_greedy
IC,greedy,5,263.15,18.843982929999925,100.0,100.0
IC,degree,5,235.575,0.0027294640000263826,89.52118563556907,0.014484538699517881
IC,pagerank,5,235.575,0.17972002799990605,89.52118563556907,0.9537263362396113
IC,betweenness,5,231.7,94.20250454200004,88.04864145924378,499.9076091924714
IC,eigenvector,5,179.26,0.7955930629999557,68.12084362530877,4.22200055028366
IC,random,5,40.945,0.00037265899993599305,15.559566787003611,0.0019776020882650764
IC,greedy,10,301.395,18.980012095999996,100.0,100.0
IC,degree,10,307.07,0.0027294640000263826,101.88291112991259,0.014380728453811746
IC,pagerank,10,250.715,0.17972002799990605,83.18485708123892,0.9468910087669635
IC,betweenness,10,245.8,94.20250454200004,81.55410673700626,496.3247866520225
IC,eigenvector,10,183.765,0.7955930629999557,60.97148260588265,4.191741601511548
IC,random,10,120.265,0.00037265899993599305,39.902785381310245,0.0019634286746030593
IC,greedy,20,344.15,19.138182642999936,100.0,100.0
IC,degree,20,338.195,0.0027294640000263826,98.26964986197879,0.014261876641796617
IC,pagerank,20,285.94,0.17972002799990605,83.08586372221416,0.9390652777871843
IC,betweenness,20,285.885,94.20250454200004,83.06988231875636,492.22283170369866
IC,eigenvector,20,191.085,0.7955930629999557,55.52375417695772,4.1570982879659955
IC,random,20,251.06,0.00037265899993599305,72.9507482202528,0.0019472016067957133
IC,greedy,50,432.635,19.370498108999982,100.0,100.0
IC,degree,50,373.415,0.0027294640000263826,86.31178707224335,0.014090830213386255
IC,pagerank,50,404.415,0.17972002799990605,93.47718053324397,0.9278028215309753
IC,betweenness,50,385.74,94.20250454200004,89.16060882730247,486.3194741400655
IC,eigenvector,50,206.6,0.7955930629999557,47.75388029170086,4.107241117513157
IC,random,50,345.785,0.00037265899993599305,79.92534122297087,0.0019238483070440355
LT,greedy,5,1189.775,11.119977782999968,100.0,100.0
LT,degree,5,1189.775,0.0027477480000470678,100.0,0.024710013398118277
LT,pagerank,5,1189.775,0.14990999500003,100.0,1.3481141592675647
LT,betweenness,5,1049.1,92.45269608299986,88.1763358618226,831.410798539004
LT,eigenvector,5,286.57,0.6628307500000119,24.08606669328234,5.96072009256472
LT,random,5,74.535,0.0003407180001886445,6.264629866991657,0.0030640169147597433
LT,greedy,10,1466.585,11.183655517000034,100.0,100.0
LT,degree,10,1363.22,0.0027477480000470678,92.95199391784315,0.024569319001915564
LT,pagerank,10,1453.36,0.14990999500003,99.09824524320103,1.340438238393118
LT,betweenness,10,1292.675,92.45269608299986,88.1418397160751,826.6768941735063
LT,eigenvector,10,359.23,0.6628307500000119,24.494318433640053,5.926780818601371
LT,random,10,129.36,0.0003407180001886445,8.820491140983988,0.00304657095053336
LT,greedy,20,1731.705,11.362798373000032,100.0,100.0
LT,degree,20,1664.0,0.0027477480000470678,96.09026941655767,0.02418196565536348
LT,pagerank,20,1666.17,0.14990999500003,96.21557944338095,1.3193052457591958
LT,betweenness,20,1584.535,92.45269608299986,91.50143933291179,813.6437262028992
LT,eigenvector,20,413.55,0.6628307500000119,23.88108829159701,5.83334076907509
LT,random,20,456.785,0.0003407180001886445,26.377760646299457,0.002998539523487887
LT,greedy,50,2218.715,11.830857561000016,100.0,100.0
LT,degree,50,1861.345,0.0027477480000470678,83.89292901521826,0.023225264828687628
LT,pagerank,50,2105.66,0.14990999500003,94.90448300029522,1.267110133201187
LT,betweenness,50,1914.375,92.45269608299986,86.2830512255968,781.4538853697871
LT,eigenvector,50,462.03,0.6628307500000119,20.82421581861573,5.602558788172794
LT,random,50,789.0,0.0003407180001886445,35.5611243444967,0.0028799095790977046
